title,rank,date,artist,url,region,chart,trend,streams
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",105,2017-01-01,"IAmChino, El Chacal",https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,Global,top200,MOVE_UP,534629
Borro Cassette,106,2017-01-01,Maluma,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,Global,top200,MOVE_UP,531529
Andas En Mi Cabeza,107,2017-01-01,"Chino & Nacho, Daddy Yankee",https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,Global,top200,MOVE_UP,523705
Sunset Lover,108,2017-01-01,Petit Biscuit,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,Global,top200,MOVE_DOWN,520460
Sidewalks,109,2017-01-01,"The Weeknd, Kendrick Lamar",https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko,Global,top200,MOVE_UP,516467
Sex,110,2017-01-01,"Cheat Codes, Kris Kross Amsterdam",https://open.spotify.com/track/5DA77EqppDmCTWGovd4oTP,Global,top200,MOVE_DOWN,515548
Final Song,111,2017-01-01,MØ,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7,Global,top200,MOVE_DOWN,505038
All Time Low,112,2017-01-01,Jon Bellion,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,Global,top200,MOVE_UP,501034
Versace on the Floor,113,2017-01-01,Bruno Mars,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,Global,top200,MOVE_DOWN,500917
Six Feet Under,114,2017-01-01,The Weeknd,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY,Global,top200,MOVE_UP,489564
Fresh Eyes,115,2017-01-01,Andy Grammer,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,Global,top200,MOVE_UP,489550
Vacaciones,116,2017-01-01,Wisin,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,Global,top200,MOVE_UP,487214
Bohemian Rhapsody - Remastered 2011,117,2017-01-01,Queen,https://open.spotify.com/track/1AhDOtG9vPSOmsWgNW0BEY,Global,top200,MOVE_UP,482964
pick up the phone,118,2017-01-01,"Young Thug, Travis Scott",https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr,Global,top200,MOVE_UP,480609
You Was Right,119,2017-01-01,Lil Uzi Vert,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M,Global,top200,MOVE_UP,476850
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),120,2017-01-01,Vice,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,Global,top200,MOVE_DOWN,476309
Roses (feat. ROZES),121,2017-01-01,The Chainsmokers,https://open.spotify.com/track/6O6M7pJLABmfBRoGZMu76Y,Global,top200,MOVE_DOWN,475190
Jumpman,122,2017-01-01,"Drake, Future",https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ,Global,top200,MOVE_UP,473297
Photograph,123,2017-01-01,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Global,top200,MOVE_UP,472142
PILLOWTALK,124,2017-01-01,ZAYN,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1,Global,top200,MOVE_DOWN,470638
Pumped Up Kicks,125,2017-01-01,Foster The People,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT,Global,top200,MOVE_UP,467384
What Do You Mean?,126,2017-01-01,Justin Bieber,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI,Global,top200,MOVE_DOWN,464343
Lush Life,127,2017-01-01,Zara Larsson,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,Global,top200,MOVE_DOWN,460606
Hotline Bling,128,2017-01-01,Drake,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6,Global,top200,MOVE_UP,459418
Redbone,129,2017-01-01,Childish Gambino,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,Global,top200,MOVE_UP,455949
No Money,130,2017-01-01,Galantis,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd,Global,top200,MOVE_DOWN,453779
"Happy - From ""Despicable Me 2""",131,2017-01-01,Pharrell Williams,https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg,Global,top200,MOVE_UP,453426
Hello,132,2017-01-01,Adele,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,Global,top200,MOVE_DOWN,448638
This Town,133,2017-01-01,Niall Horan,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7,Global,top200,MOVE_UP,445379
Never Be Like You,134,2017-01-01,"Flume, kai",https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr,Global,top200,MOVE_DOWN,445025
I Got You,135,2017-01-01,Bebe Rexha,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i,Global,top200,MOVE_DOWN,443982
Titanium (feat. Sia),136,2017-01-01,David Guetta,https://open.spotify.com/track/2dOTkLZFbpNXrhc24CnTFd,Global,top200,MOVE_UP,441628
